Box Barcode,FileBarcode,Sales Invoice No,Sales Invoice Date,SRN No,SRN Date,ARA Doc No,ARA City,STN No,STN Date,STN From,STN To,LRNo,Comment,Billing Location,Customer Name,SAN No,Inventory Adj,SAN A,Location
KL3300630993,K3393420971,1206479250,24.10.2016,,,,,,,,,,,Bhubneshwar,SPECTRA VISION,,,,BHUBNESHWAR
KL3300630993,K3393420972,1206479249,24.10.2016,,,,,,,,,,,Bhubneshwar,DOORDARSHAN,,,,BHUBNESHWAR
KL3300630993,K3393420973,1206479248,24.10.2016,,,,,,,,,,,Bhubneshwar,ONE TIME EMP - BBSR (EPP),,,,BHUBNESHWAR
KL3300630993,K3393420974,1206479247,24.10.2016,,,,,,,,,,,Bhubneshwar,SPECTRA VISION,,,,BHUBNESHWAR
KL3300630993,K3393420975,1206479246,24.10.2016,,,,,,,,,,,Bhubneshwar,SAHEB DISTRIBUTORS,,,,BHUBNESHWAR
KL3300630993,K3393420976,1206479245,24.10.2016,,,,,,,,,,,Bhubneshwar,SAHEB DISTRIBUTORS,,,,BHUBNESHWAR
KL3300630993,K3393420977,1206479244,24.10.2016,,,,,,,,,,,Bhubneshwar,UTKAL SALES,,,,BHUBNESHWAR
KL3300630993,K3393420978,1206479243,24.10.2016,,,,,,,,,,,Bhubneshwar,One-Time:Instn-Bhubaneshwar,,,,BHUBNESHWAR
KL3300630993,K3393420979,1206479242,24.10.2016,,,,,,,,,,,Bhubneshwar,UTKAL SALES,,,,BHUBNESHWAR
KL3300630993,K3393420980,1206479241,24.10.2016,,,,,,,,,,,Bhubneshwar,RADIANT ENTERPRISES,,,,BHUBNESHWAR
KL3300630993,K3393420981,1206479240,24.10.2016,,,,,,,,,,,Bhubneshwar,GUPTA DISTRIBUTORS,,,,BHUBNESHWAR
KL3300630993,K3393420982,1206479239,24.10.2016,,,,,,,,,,,Bhubneshwar,KALINGA SALES,,,,BHUBNESHWAR
KL3300630993,K3393420983,1206479238,23.10.2016,,,,,,,,,,,Bhubneshwar,RAJDHANI ELECTRONICS,,,,BHUBNESHWAR
KL3300630993,K3393420984,1206479237,23.10.2016,,,,,,,,,,,Bhubneshwar,RAJDHANI ELECTRONICS,,,,BHUBNESHWAR
